TreeUID,Farm,Treatment,Season,Diameter,Flower Intensity,No. of young pods,Damaged young pods,Matured pod,Damaged pod,Canopy health,pest,Mean pH,SD pH,Mean N (%),SD N (%),Mean P (mg/Kg),SD P (mg/Kg),Mean K (mg/Kg),SD K (mg/Kg),Mean  Ca(mg/Kg),SD  Ca(mg/Kg),Mean Mg(mg/Kg),SD Mg(mg/Kg),Mean O.C (%),SD O.C (%),Mean O.M (%),SD O.M (%),Mean NDVI,SD NDVI
F_2_I_BC_19,Farm 2,I_BC,Wet,27,High,13,7,19,0,High,Very low,6.92,0.36,0.112,0.03,7.559,3.43,40.58,38.5,840,294.74,264,73.45,1.117,0.61,1.926,1.05,0.92,0
F_2_I_BC_20,Farm 2,I_BC,Wet,28,Very low,2,0,0,0,High,Very low,6.92,0.36,0.112,0.03,7.559,3.43,40.58,38.5,840,294.74,264,73.45,1.117,0.61,1.926,1.05,0.92,0
F_2_I_BCM_1,Farm 2,I_BCM,Dry,30.8,Very low,4,1,0,0,High,Very low,5.93,0.27,0.126,0.04,5.793,17.87,676.041,224.4,1000,240.55,216,50.34,1.556,0.36,2.683,0.63,0.71,0
F_2_I_BCM_2,Farm 2,I_BCM,Dry,37.3,Moderate,9,1,8,0,High,Very low,5.93,0.27,0.126,0.04,5.793,17.87,676.041,224.4,1000,240.55,216,50.34,1.556,0.36,2.683,0.63,0.71,0
F_2_I_BCM_3,Farm 2,I_BCM,Dry,38.4,Moderate,19,2,11,0,High,Very low,5.93,0.27,0.126,0.04,5.793,17.87,676.041,224.4,1000,240.55,216,50.34,1.556,0.36,2.683,0.63,0.71,0
F_2_I_BCM_4,Farm 2,I_BCM,Dry,24.5,Low,33,20,22,0,High,Very low,5.93,0.27,0.126,0.04,5.793,17.87,676.041,224.4,1000,240.55,216,50.34,1.556,0.36,2.683,0.63,0.71,0
F_2_I_BCM_5,Farm 2,I_BCM,Dry,26,Low,0,0,7,0,High,Very low,5.93,0.27,0.126,0.04,5.793,17.87,676.041,224.4,1000,240.55,216,50.34,1.556,0.36,2.683,0.63,0.71,0
F_2_I_BCM_6,Farm 2,I_BCM,Dry,25,Very low,12,12,7,0,High,Very low,5.93,0.27,0.126,0.04,5.793,17.87,676.041,224.4,1000,240.55,216,50.34,1.556,0.36,2.683,0.63,0.71,0
F_2_I_BCM_7,Farm 2,I_BCM,Dry,33,Low,14,1,11,0,High,Very low,5.93,0.27,0.126,0.04,5.793,17.87,676.041,224.4,1000,240.55,216,50.34,1.556,0.36,2.683,0.63,0.71,0
F_2_I_BCM_8,Farm 2,I_BCM,Dry,34.6,Very low,9,1,9,0,High,Very low,5.93,0.27,0.126,0.04,5.793,17.87,676.041,224.4,1000,240.55,216,50.34,1.556,0.36,2.683,0.63,0.71,0
F_2_I_BCM_9,Farm 2,I_BCM,Dry,48,Moderate,5,0,9,0,High,Very low,5.93,0.27,0.126,0.04,5.793,17.87,676.041,224.4,1000,240.55,216,50.34,1.556,0.36,2.683,0.63,0.71,0
F_2_I_BCM_10,Farm 2,I_BCM,Dry,49.5,Moderate,28,2,17,0,Very High,Very low,5.93,0.27,0.126,0.04,5.793,17.87,676.041,224.4,1000,240.55,216,50.34,1.556,0.36,2.683,0.63,0.71,0
F_2_I_BCM_11,Farm 2,I_BCM,Dry,23.5,Very low,0,0,1,0,Moderate,Very low,5.93,0.27,0.126,0.04,5.793,17.87,676.041,224.4,1000,240.55,216,50.34,1.556,0.36,2.683,0.63,0.71,0
F_2_I_BCM_12,Farm 2,I_BCM,Dry,21,Very low,5,3,9,0,Moderate,Very low,5.93,0.27,0.126,0.04,5.793,17.87,676.041,224.4,1000,240.55,216,50.34,1.556,0.36,2.683,0.63,0.71,0
F_2_I_BCM_13,Farm 2,I_BCM,Dry,38,Very low,14,2,17,0,High,Very low,5.93,0.27,0.126,0.04,5.793,17.87,676.041,224.4,1000,240.55,216,50.34,1.556,0.36,2.683,0.63,0.71,0
F_2_I_BCM_14,Farm 2,I_BCM,Dry,33,Very low,23,12,12,0,High,Very low,5.93,0.27,0.126,0.04,5.793,17.87,676.041,224.4,1000,240.55,216,50.34,1.556,0.36,2.683,0.63,0.71,0
F_2_I_BCM_15,Farm 2,I_BCM,Dry,43.3,Low,13,2,11,0,High,Very low,5.93,0.27,0.126,0.04,5.793,17.87,676.041,224.4,1000,240.55,216,50.34,1.556,0.36,2.683,0.63,0.71,0
F_2_I_BCM_16,Farm 2,I_BCM,Dry,36.3,Very low,12,6,18,0,High,Very low,5.93,0.27,0.126,0.04,5.793,17.87,676.041,224.4,1000,240.55,216,50.34,1.556,0.36,2.683,0.63,0.71,0
F_2_I_BCM_17,Farm 2,I_BCM,Dry,39.1,Moderate,19,2,18,0,High,Very low,5.93,0.27,0.126,0.04,5.793,17.87,676.041,224.4,1000,240.55,216,50.34,1.556,0.36,2.683,0.63,0.71,0
F_2_I_BCM_18,Farm 2,I_BCM,Dry,24,Moderate,13,9,9,0,High,Very low,5.93,0.27,0.126,0.04,5.793,17.87,676.041,224.4,1000,240.55,216,50.34,1.556,0.36,2.683,0.63,0.71,0
F_2_I_BCM_19,Farm 2,I_BCM,Dry,23.5,Low,23,6,17,0,High,Very low,5.93,0.27,0.126,0.04,5.793,17.87,676.041,224.4,1000,240.55,216,50.34,1.556,0.36,2.683,0.63,0.71,0
F_2_I_BCM_20,Farm 2,I_BCM,Dry,28,Low,15,3,23,0,High,Very low,5.93,0.27,0.126,0.04,5.793,17.87,676.041,224.4,1000,240.55,216,50.34,1.556,0.36,2.683,0.63,0.71,0
F_2_I_BCO_1,Farm 2,I_BCO,Dry,30,Low,0,0,0,0,Moderate,Very low,6.48,0.43,0.147,0.05,7.559,6.18,55.297,31.22,1040,1200.64,144,305.25,2.274,0.69,3.921,1.19,0.71,0
F_2_I_BCO_2,Farm 2,I_BCO,Dry,39,Low,45,16,39,0,Moderate,Very low,6.48,0.43,0.147,0.05,7.559,6.18,55.297,31.22,1040,1200.64,144,305.25,2.274,0.69,3.921,1.19,0.71,0
F_2_I_BCO_3,Farm 2,I_BCO,Dry,25.2,Low,4,1,7,0,Moderate,Very low,6.48,0.43,0.147,0.05,7.559,6.18,55.297,31.22,1040,1200.64,144,305.25,2.274,0.69,3.921,1.19,0.71,0
F_2_I_BCO_4,Farm 2,I_BCO,Dry,25.2,Low,11,5,7,0,Moderate,Very low,6.48,0.43,0.147,0.05,7.559,6.18,55.297,31.22,1040,1200.64,144,305.25,2.274,0.69,3.921,1.19,0.71,0
F_2_I_BCO_5,Farm 2,I_BCO,Dry,34.3,Low,27,1,5,0,High,Very low,6.48,0.43,0.147,0.05,7.559,6.18,55.297,31.22,1040,1200.64,144,305.25,2.274,0.69,3.921,1.19,0.71,0
F_2_I_BCO_6,Farm 2,I_BCO,Dry,19,Low,4,1,0,0,Moderate,Very low,6.48,0.43,0.147,0.05,7.559,6.18,55.297,31.22,1040,1200.64,144,305.25,2.274,0.69,3.921,1.19,0.71,0
F_2_I_BCO_7,Farm 2,I_BCO,Dry,32.7,High,34,2,12,0,Moderate,Very low,6.48,0.43,0.147,0.05,7.559,6.18,55.297,31.22,1040,1200.64,144,305.25,2.274,0.69,3.921,1.19,0.71,0
F_2_I_BCO_8,Farm 2,I_BCO,Dry,37.5,Low,12,3,17,0,Moderate,Very low,6.48,0.43,0.147,0.05,7.559,6.18,55.297,31.22,1040,1200.64,144,305.25,2.274,0.69,3.921,1.19,0.71,0
F_2_I_BCO_9,Farm 2,I_BCO,Dry,38.5,Moderate,7,3,9,0,Moderate,Low,6.48,0.43,0.147,0.05,7.559,6.18,55.297,31.22,1040,1200.64,144,305.25,2.274,0.69,3.921,1.19,0.71,0
F_2_I_BCO_10,Farm 2,I_BCO,Dry,32.5,Low,5,1,0,0,High,Very low,6.48,0.43,0.147,0.05,7.559,6.18,55.297,31.22,1040,1200.64,144,305.25,2.274,0.69,3.921,1.19,0.71,0
F_2_I_BCO_11,Farm 2,I_BCO,Dry,30.5,Very low,1,1,7,0,Moderate,Low,6.48,0.43,0.147,0.05,7.559,6.18,55.297,31.22,1040,1200.64,144,305.25,2.274,0.69,3.921,1.19,0.71,0
F_2_I_BCO_12,Farm 2,I_BCO,Dry,29.5,Moderate,12,3,7,0,High,Very low,6.48,0.43,0.147,0.05,7.559,6.18,55.297,31.22,1040,1200.64,144,305.25,2.274,0.69,3.921,1.19,0.71,0
F_2_I_BCO_13,Farm 2,I_BCO,Dry,32.2,Very High,13,2,10,0,High,Very low,6.48,0.43,0.147,0.05,7.559,6.18,55.297,31.22,1040,1200.64,144,305.25,2.274,0.69,3.921,1.19,0.71,0
F_2_I_BCO_14,Farm 2,I_BCO,Dry,32,Moderate,48,20,13,0,High,Very low,6.48,0.43,0.147,0.05,7.559,6.18,55.297,31.22,1040,1200.64,144,305.25,2.274,0.69,3.921,1.19,0.71,0
F_2_I_BCO_15,Farm 2,I_BCO,Dry,30.5,Low,35,5,13,0,High,Very low,6.48,0.43,0.147,0.05,7.559,6.18,55.297,31.22,1040,1200.64,144,305.25,2.274,0.69,3.921,1.19,0.71,0
F_2_I_BCO_16,Farm 2,I_BCO,Dry,46.7,Moderate,16,3,12,0,High,Very low,6.48,0.43,0.147,0.05,7.559,6.18,55.297,31.22,1040,1200.64,144,305.25,2.274,0.69,3.921,1.19,0.71,0
F_2_I_BCO_17,Farm 2,I_BCO,Dry,32.5,Very low,8,5,0,0,High,Very low,6.48,0.43,0.147,0.05,7.559,6.18,55.297,31.22,1040,1200.64,144,305.25,2.274,0.69,3.921,1.19,0.71,0
F_2_I_BCO_18,Farm 2,I_BCO,Dry,48.6,Low,22,3,10,0,High,Very low,6.48,0.43,0.147,0.05,7.559,6.18,55.297,31.22,1040,1200.64,144,305.25,2.274,0.69,3.921,1.19,0.71,0
F_2_I_BCO_19,Farm 2,I_BCO,Dry,31.5,Low,17,6,6,0,High,Very low,6.48,0.43,0.147,0.05,7.559,6.18,55.297,31.22,1040,1200.64,144,305.25,2.274,0.69,3.921,1.19,0.71,0
F_2_I_BCO_20,Farm 2,I_BCO,Dry,30,Low,1,1,0,0,Moderate,Very low,6.48,0.43,0.147,0.05,7.559,6.18,55.297,31.22,1040,1200.64,144,305.25,2.274,0.69,3.921,1.19,0.71,0
F_2_I_C_1,Farm 2,I_C,Dry,41.2,Very low,15,6,5,0,Moderate,Very low,6.1,0.63,0.126,0.05,7.559,6.36,1056.872,391.22,720,1522.68,72,734.99,1.037,0.87,1.788,1.5,0.71,0
F_2_I_C_2,Farm 2,I_C,Dry,29,Very low,14,9,23,0,Moderate,Very low,6.1,0.63,0.126,0.05,7.559,6.36,1056.872,391.22,720,1522.68,72,734.99,1.037,0.87,1.788,1.5,0.71,0
F_2_I_C_3,Farm 2,I_C,Dry,37.8,Very low,20,4,14,0,High,Very low,6.1,0.63,0.126,0.05,7.559,6.36,1056.872,391.22,720,1522.68,72,734.99,1.037,0.87,1.788,1.5,0.71,0
F_2_I_C_4,Farm 2,I_C,Dry,35.2,Very low,4,1,4,0,High,Very low,6.1,0.63,0.126,0.05,7.559,6.36,1056.872,391.22,720,1522.68,72,734.99,1.037,0.87,1.788,1.5,0.71,0
F_2_I_C_5,Farm 2,I_C,Dry,29,Very low,31,3,4,0,High,Very low,6.1,0.63,0.126,0.05,7.559,6.36,1056.872,391.22,720,1522.68,72,734.99,1.037,0.87,1.788,1.5,0.71,0
F_2_I_C_6,Farm 2,I_C,Dry,29.5,Very low,19,6,15,0,Moderate,Very low,6.1,0.63,0.126,0.05,7.559,6.36,1056.872,391.22,720,1522.68,72,734.99,1.037,0.87,1.788,1.5,0.71,0
F_2_I_C_7,Farm 2,I_C,Dry,25.5,Low,13,4,12,0,Moderate,Very low,6.1,0.63,0.126,0.05,7.559,6.36,1056.872,391.22,720,1522.68,72,734.99,1.037,0.87,1.788,1.5,0.71,0
F_2_I_C_8,Farm 2,I_C,Dry,26.5,Low,28,2,5,0,Moderate,Very low,6.1,0.63,0.126,0.05,7.559,6.36,1056.872,391.22,720,1522.68,72,734.99,1.037,0.87,1.788,1.5,0.71,0
F_2_I_C_9,Farm 2,I_C,Dry,30,Moderate,16,5,1,0,Moderate,Very low,6.1,0.63,0.126,0.05,7.559,6.36,1056.872,391.22,720,1522.68,72,734.99,1.037,0.87,1.788,1.5,0.71,0
F_2_I_C_10,Farm 2,I_C,Dry,24.2,Very low,1,0,0,0,Moderate,Very low,6.1,0.63,0.126,0.05,7.559,6.36,1056.872,391.22,720,1522.68,72,734.99,1.037,0.87,1.788,1.5,0.71,0
F_2_I_C_11,Farm 2,I_C,Dry,45,Moderate,9,3,3,0,High,Very low,6.1,0.63,0.126,0.05,7.559,6.36,1056.872,391.22,720,1522.68,72,734.99,1.037,0.87,1.788,1.5,0.71,0
F_2_I_C_12,Farm 2,I_C,Dry,23.5,Moderate,18,2,0,0,High,Very low,6.1,0.63,0.126,0.05,7.559,6.36,1056.872,391.22,720,1522.68,72,734.99,1.037,0.87,1.788,1.5,0.71,0
F_2_I_C_13,Farm 2,I_C,Dry,38.6,Moderate,6,2,9,0,High,Very low,6.1,0.63,0.126,0.05,7.559,6.36,1056.872,391.22,720,1522.68,72,734.99,1.037,0.87,1.788,1.5,0.71,0
F_2_I_C_14,Farm 2,I_C,Dry,24,Very low,6,3,6,0,Moderate,Very low,6.1,0.63,0.126,0.05,7.559,6.36,1056.872,391.22,720,1522.68,72,734.99,1.037,0.87,1.788,1.5,0.71,0
F_2_I_C_15,Farm 2,I_C,Dry,45,High,24,12,16,0,Very High,Very low,6.1,0.63,0.126,0.05,7.559,6.36,1056.872,391.22,720,1522.68,72,734.99,1.037,0.87,1.788,1.5,0.71,0
F_2_I_C_16,Farm 2,I_C,Dry,37,Low,8,3,8,0,High,Very low,6.1,0.63,0.126,0.05,7.559,6.36,1056.872,391.22,720,1522.68,72,734.99,1.037,0.87,1.788,1.5,0.71,0
F_2_I_C_17,Farm 2,I_C,Dry,31,Low,11,3,11,0,High,Very low,6.1,0.63,0.126,0.05,7.559,6.36,1056.872,391.22,720,1522.68,72,734.99,1.037,0.87,1.788,1.5,0.71,0
F_2_I_C_18,Farm 2,I_C,Dry,34,High,14,2,15,0,High,Very low,6.1,0.63,0.126,0.05,7.559,6.36,1056.872,391.22,720,1522.68,72,734.99,1.037,0.87,1.788,1.5,0.71,0
F_2_I_C_19,Farm 2,I_C,Dry,30.6,High,21,15,5,0,Moderate,Very low,6.1,0.63,0.126,0.05,7.559,6.36,1056.872,391.22,720,1522.68,72,734.99,1.037,0.87,1.788,1.5,0.71,0
F_2_I_C_20,Farm 2,I_C,Dry,26.5,Low,11,6,8,0,Moderate,Very low,6.1,0.63,0.126,0.05,7.559,6.36,1056.872,391.22,720,1522.68,72,734.99,1.037,0.87,1.788,1.5,0.71,0
F_2_I_BC_1,Farm 2,I_BC,Dry,45.2,Very low,8,4,20,0,Moderate,Very low,6.51,0.36,0.119,0.03,7.559,3.43,109.344,38.5,840,294.74,120,73.45,1.915,0.61,3.302,1.05,0.86,0
F_2_I_BC_2,Farm 2,I_BC,Dry,41,Moderate,21,6,16,0,High,Very low,6.51,0.36,0.119,0.03,7.559,3.43,109.344,38.5,840,294.74,120,73.45,1.915,0.61,3.302,1.05,0.86,0
F_2_I_BC_3,Farm 2,I_BC,Dry,48.5,High,20,3,13,0,Very High,Very low,6.51,0.36,0.119,0.03,7.559,3.43,109.344,38.5,840,294.74,120,73.45,1.915,0.61,3.302,1.05,0.86,0
F_2_I_BC_4,Farm 2,I_BC,Dry,26.2,Very low,4,3,8,0,High,Very low,6.51,0.36,0.119,0.03,7.559,3.43,109.344,38.5,840,294.74,120,73.45,1.915,0.61,3.302,1.05,0.86,0
F_2_I_BC_5,Farm 2,I_BC,Dry,32.2,Very low,13,2,7,0,High,Very low,6.51,0.36,0.119,0.03,7.559,3.43,109.344,38.5,840,294.74,120,73.45,1.915,0.61,3.302,1.05,0.86,0
F_2_I_BC_6,Farm 2,I_BC,Dry,36.8,Moderate,26,7,9,0,High,Very low,6.51,0.36,0.119,0.03,7.559,3.43,109.344,38.5,840,294.74,120,73.45,1.915,0.61,3.302,1.05,0.86,0
F_2_I_BC_7,Farm 2,I_BC,Dry,28.2,Moderate,6,1,3,0,High,Very low,6.51,0.36,0.119,0.03,7.559,3.43,109.344,38.5,840,294.74,120,73.45,1.915,0.61,3.302,1.05,0.86,0
F_2_I_BC_8,Farm 2,I_BC,Dry,27.5,Very low,15,6,3,0,High,Very low,6.51,0.36,0.119,0.03,7.559,3.43,109.344,38.5,840,294.74,120,73.45,1.915,0.61,3.302,1.05,0.86,0
F_2_I_BC_9,Farm 2,I_BC,Dry,28.2,Low,7,2,9,0,High,Very low,6.51,0.36,0.119,0.03,7.559,3.43,109.344,38.5,840,294.74,120,73.45,1.915,0.61,3.302,1.05,0.86,0
F_2_I_BC_10,Farm 2,I_BC,Dry,38.1,Very High,13,1,11,0,Very High,Very low,6.51,0.36,0.119,0.03,7.559,3.43,109.344,38.5,840,294.74,120,73.45,1.915,0.61,3.302,1.05,0.86,0
F_2_I_BC_11,Farm 2,I_BC,Dry,27.3,Low,13,6,13,0,High,Very low,6.51,0.36,0.119,0.03,7.559,3.43,109.344,38.5,840,294.74,120,73.45,1.915,0.61,3.302,1.05,0.86,0
F_2_I_BC_12,Farm 2,I_BC,Dry,24,Low,34,7,24,0,High,Very low,6.51,0.36,0.119,0.03,7.559,3.43,109.344,38.5,840,294.74,120,73.45,1.915,0.61,3.302,1.05,0.86,0
F_2_I_BC_13,Farm 2,I_BC,Dry,37,Moderate,20,1,10,0,High,Very low,6.51,0.36,0.119,0.03,7.559,3.43,109.344,38.5,840,294.74,120,73.45,1.915,0.61,3.302,1.05,0.86,0
F_2_I_BC_14,Farm 2,I_BC,Dry,34,Moderate,14,6,20,0,High,Very low,6.51,0.36,0.119,0.03,7.559,3.43,109.344,38.5,840,294.74,120,73.45,1.915,0.61,3.302,1.05,0.86,0
F_2_I_BC_15,Farm 2,I_BC,Dry,20.6,High,24,6,17,0,High,Very low,6.51,0.36,0.119,0.03,7.559,3.43,109.344,38.5,840,294.74,120,73.45,1.915,0.61,3.302,1.05,0.86,0
F_2_I_BC_16,Farm 2,I_BC,Dry,32.5,Very low,19,16,43,0,High,Very low,6.51,0.36,0.119,0.03,7.559,3.43,109.344,38.5,840,294.74,120,73.45,1.915,0.61,3.302,1.05,0.86,0
F_2_I_BC_17,Farm 2,I_BC,Dry,23.2,Very low,5,5,34,0,Moderate,Very low,6.51,0.36,0.119,0.03,7.559,3.43,109.344,38.5,840,294.74,120,73.45,1.915,0.61,3.302,1.05,0.86,0
F_2_I_BC_18,Farm 2,I_BC,Dry,26,Moderate,13,3,14,0,Moderate,Very low,6.51,0.36,0.119,0.03,7.559,3.43,109.344,38.5,840,294.74,120,73.45,1.915,0.61,3.302,1.05,0.86,0
F_2_I_BC_19,Farm 2,I_BC,Dry,25.3,Very low,11,9,15,0,High,Very low,6.51,0.36,0.119,0.03,7.559,3.43,109.344,38.5,840,294.74,120,73.45,1.915,0.61,3.302,1.05,0.86,0
F_2_I_BC_20,Farm 2,I_BC,Dry,25.3,Low,2,1,0,0,Moderate,Very low,6.51,0.36,0.119,0.03,7.559,3.43,109.344,38.5,840,294.74,120,73.45,1.915,0.61,3.302,1.05,0.86,0
F_2_TS_M_1,Farm 2,TS_M,Dry,30.8,Low,3,2,5,0,High,Very low,6.09,0.58,0.098,0.11,12.857,211.24,62.342,616.63,600,1413.31,144,516.08,3.751,1.24,6.466,2.13,0.86,0
F_2_TS_M_2,Farm 2,TS_M,Dry,31.3,Low,4,1,3,0,High,Very low,6.09,0.58,0.098,0.11,12.857,211.24,62.342,616.63,600,1413.31,144,516.08,3.751,1.24,6.466,2.13,0.86,0
F_2_TS_M_3,Farm 2,TS_M,Dry,38.3,Low,3,3,7,0,High,Very low,6.09,0.58,0.098,0.11,12.857,211.24,62.342,616.63,600,1413.31,144,516.08,3.751,1.24,6.466,2.13,0.86,0
F_2_TS_M_4,Farm 2,TS_M,Dry,28.5,Low,6,2,4,0,High,Very low,6.09,0.58,0.098,0.11,12.857,211.24,62.342,616.63,600,1413.31,144,516.08,3.751,1.24,6.466,2.13,0.86,0
F_2_TS_M_5,Farm 2,TS_M,Dry,31.7,Low,10,2,11,0,Very High,Very low,6.09,0.58,0.098,0.11,12.857,211.24,62.342,616.63,600,1413.31,144,516.08,3.751,1.24,6.466,2.13,0.86,0
F_2_TS_M_6,Farm 2,TS_M,Dry,27,Moderate,8,2,3,0,Very High,Very low,6.09,0.58,0.098,0.11,12.857,211.24,62.342,616.63,600,1413.31,144,516.08,3.751,1.24,6.466,2.13,0.86,0
F_2_TS_M_7,Farm 2,TS_M,Dry,29.6,Low,4,0,3,0,Very High,Very low,6.09,0.58,0.098,0.11,12.857,211.24,62.342,616.63,600,1413.31,144,516.08,3.751,1.24,6.466,2.13,0.86,0
F_2_TS_M_8,Farm 2,TS_M,Dry,24.5,Low,1,0,0,0,High,Very low,6.09,0.58,0.098,0.11,12.857,211.24,62.342,616.63,600,1413.31,144,516.08,3.751,1.24,6.466,2.13,0.86,0
F_2_TS_M_9,Farm 2,TS_M,Dry,27.5,Very low,9,0,2,0,High,Very low,6.09,0.58,0.098,0.11,12.857,211.24,62.342,616.63,600,1413.31,144,516.08,3.751,1.24,6.466,2.13,0.86,0
F_2_TS_M_10,Farm 2,TS_M,Dry,29.5,Moderate,9,3,7,0,Very High,Very low,6.09,0.58,0.098,0.11,12.857,211.24,62.342,616.63,600,1413.31,144,516.08,3.751,1.24,6.466,2.13,0.86,0
F_2_TS_M_11,Farm 2,TS_M,Dry,33,Moderate,44,4,19,0,Very High,Very low,6.09,0.58,0.098,0.11,12.857,211.24,62.342,616.63,600,1413.31,144,516.08,3.751,1.24,6.466,2.13,0.86,0
F_2_TS_M_12,Farm 2,TS_M,Dry,37.5,Very low,11,2,12,0,Very High,Very low,6.09,0.58,0.098,0.11,12.857,211.24,62.342,616.63,600,1413.31,144,516.08,3.751,1.24,6.466,2.13,0.86,0
F_2_TS_M_13,Farm 2,TS_M,Dry,39,Low,14,5,6,0,Very High,Very low,6.09,0.58,0.098,0.11,12.857,211.24,62.342,616.63,600,1413.31,144,516.08,3.751,1.24,6.466,2.13,0.86,0
F_2_TS_M_14,Farm 2,TS_M,Dry,29.7,Low,14,4,7,0,High,Very low,6.09,0.58,0.098,0.11,12.857,211.24,62.342,616.63,600,1413.31,144,516.08,3.751,1.24,6.466,2.13,0.86,0
F_2_TS_M_15,Farm 2,TS_M,Dry,36.5,Low,4,3,2,0,Very High,Very low,6.09,0.58,0.098,0.11,12.857,211.24,62.342,616.63,600,1413.31,144,516.08,3.751,1.24,6.466,2.13,0.86,0
F_2_TS_M_16,Farm 2,TS_M,Dry,42.1,Low,10,3,12,0,Very High,Very low,6.09,0.58,0.098,0.11,12.857,211.24,62.342,616.63,600,1413.31,144,516.08,3.751,1.24,6.466,2.13,0.86,0
F_2_TS_M_17,Farm 2,TS_M,Dry,39,Low,19,5,22,0,Very High,Very low,6.09,0.58,0.098,0.11,12.857,211.24,62.342,616.63,600,1413.31,144,516.08,3.751,1.24,6.466,2.13,0.86,0
F_2_TS_M_18,Farm 2,TS_M,Dry,36,Very low,24,3,5,0,Very High,Very low,6.09,0.58,0.098,0.11,12.857,211.24,62.342,616.63,600,1413.31,144,516.08,3.751,1.24,6.466,2.13,0.86,0
F_2_TS_M_19,Farm 2,TS_M,Dry,40.4,Moderate,9,4,6,0,Very High,Very low,6.09,0.58,0.098,0.11,12.857,211.24,62.342,616.63,600,1413.31,144,516.08,3.751,1.24,6.466,2.13,0.86,0
F_2_TS_M_20,Farm 2,TS_M,Dry,35.5,Moderate,4,0,6,0,Very High,Very low,6.09,0.58,0.098,0.11,12.857,211.24,62.342,616.63,600,1413.31,144,516.08,3.751,1.24,6.466,2.13,0.86,0
F_2_TS_BCM_1,Farm 2,TS_BCM,Dry,29,Moderate,5,0,3,0,Very High,Very low,6.36,0.67,0.112,0.09,7.559,67.82,90.704,493.03,680,1213.37,144,269.72,1.037,0.85,1.788,1.47,0.86,0
F_2_TS_BCM_2,Farm 2,TS_BCM,Dry,37,Moderate,2,0,8,0,Very High,Very low,6.36,0.67,0.112,0.09,7.559,67.82,90.704,493.03,680,1213.37,144,269.72,1.037,0.85,1.788,1.47,0.86,0
F_2_TS_BCM_3,Farm 2,TS_BCM,Dry,45.6,Moderate,19,4,14,0,Very High,Very low,6.36,0.67,0.112,0.09,7.559,67.82,90.704,493.03,680,1213.37,144,269.72,1.037,0.85,1.788,1.47,0.86,0
F_2_TS_BCM_4,Farm 2,TS_BCM,Dry,24.5,Moderate,0,0,1,0,High,Very low,6.36,0.67,0.112,0.09,7.559,67.82,90.704,493.03,680,1213.37,144,269.72,1.037,0.85,1.788,1.47,0.86,0
F_2_TS_BCM_5,Farm 2,TS_BCM,Dry,24.5,Moderate,0,0,1,0,High,Very low,6.36,0.67,0.112,0.09,7.559,67.82,90.704,493.03,680,1213.37,144,269.72,1.037,0.85,1.788,1.47,0.86,0
F_2_TS_BCM_6,Farm 2,TS_BCM,Dry,30,Very low,0,0,0,0,Moderate,Very low,6.36,0.67,0.112,0.09,7.559,67.82,90.704,493.03,680,1213.37,144,269.72,1.037,0.85,1.788,1.47,0.86,0
F_2_TS_BCM_7,Farm 2,TS_BCM,Dry,38,Moderate,16,2,7,0,High,Very low,6.36,0.67,0.112,0.09,7.559,67.82,90.704,493.03,680,1213.37,144,269.72,1.037,0.85,1.788,1.47,0.86,0
F_2_TS_BCM_8,Farm 2,TS_BCM,Dry,32.6,Moderate,6,2,3,0,High,Very low,6.36,0.67,0.112,0.09,7.559,67.82,90.704,493.03,680,1213.37,144,269.72,1.037,0.85,1.788,1.47,0.86,0
F_2_TS_BCM_9,Farm 2,TS_BCM,Dry,19.5,Very low,0,0,0,0,Low,Very low,6.36,0.67,0.112,0.09,7.559,67.82,90.704,493.03,680,1213.37,144,269.72,1.037,0.85,1.788,1.47,0.86,0
F_2_TS_BCM_10,Farm 2,TS_BCM,Dry,43,Moderate,19,0,7,0,Very High,Very low,6.36,0.67,0.112,0.09,7.559,67.82,90.704,493.03,680,1213.37,144,269.72,1.037,0.85,1.788,1.47,0.86,0
F_2_TS_BCM_11,Farm 2,TS_BCM,Dry,28.5,Very low,1,1,6,0,High,Very low,6.36,0.67,0.112,0.09,7.559,67.82,90.704,493.03,680,1213.37,144,269.72,1.037,0.85,1.788,1.47,0.86,0
F_2_TS_BCM_12,Farm 2,TS_BCM,Dry,36.2,Low,23,7,5,0,High,Very low,6.36,0.67,0.112,0.09,7.559,67.82,90.704,493.03,680,1213.37,144,269.72,1.037,0.85,1.788,1.47,0.86,0
F_2_TS_BCM_13,Farm 2,TS_BCM,Dry,30,Very low,1,1,2,0,High,Very low,6.36,0.67,0.112,0.09,7.559,67.82,90.704,493.03,680,1213.37,144,269.72,1.037,0.85,1.788,1.47,0.86,0
F_2_TS_BCM_14,Farm 2,TS_BCM,Dry,42,Moderate,10,4,27,0,High,Very low,6.36,0.67,0.112,0.09,7.559,67.82,90.704,493.03,680,1213.37,144,269.72,1.037,0.85,1.788,1.47,0.86,0
F_2_TS_BCM_15,Farm 2,TS_BCM,Dry,43.1,Moderate,11,1,24,0,High,Very low,6.36,0.67,0.112,0.09,7.559,67.82,90.704,493.03,680,1213.37,144,269.72,1.037,0.85,1.788,1.47,0.86,0
F_2_TS_BCM_16,Farm 2,TS_BCM,Dry,29.3,Moderate,3,0,3,0,High,Very low,6.36,0.67,0.112,0.09,7.559,67.82,90.704,493.03,680,1213.37,144,269.72,1.037,0.85,1.788,1.47,0.86,0
